title,album,attribution,members,release_date,bpm,duration
Dancing in the Light,Blue!,AZUNA,"Ayumu Uehara, Shizuku Osaka, Setsuna Yuki",2022.11.02,130,4:29
Sing & Smile!!,Sing & Smile!!,QU4RTZ,"Kasumi Nakasu, Kanata Konoe, Emma Verde, Rina Tennoji",2020.02.12,135,4:41
Beautiful Moonlight,Sing & Smile!!,QU4RTZ,"Kasumi Nakasu, Kanata Konoe, Emma Verde, Rina Tennoji",2020.02.12,116,3:58
Swinging!,Swinging!,QU4RTZ,"Kasumi Nakasu, Kanata Konoe, Emma Verde, Rina Tennoji",2021.07.14,128,4:03
Not Sad,Swinging!,QU4RTZ,"Kasumi Nakasu, Kanata Konoe, Emma Verde, Rina Tennoji",2021.07.14,110,4:17
ENJOY IT!,Anime Season 2,QU4RTZ,"Kasumi Nakasu, Kanata Konoe, Emma Verde, Rina Tennoji",2022.05.11,120,4:13
4 SEASONS,Anime Season 2,QU4RTZ,"Kasumi Nakasu, Kanata Konoe, Emma Verde, Rina Tennoji",2022.05.11,117,3:48
PASTEL,PASTEL,QU4RTZ,"Kasumi Nakasu, Kanata Konoe, Emma Verde, Rina Tennoji",2022.11.23,138,3:51
The Path Ahead,PASTEL,QU4RTZ,"Kasumi Nakasu, Kanata Konoe, Emma Verde, Rina Tennoji",2022.11.23,84,4:01
MONSTER GIRLS,MONSTER GIRLS,R3BIRTH,"Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2021.10.06,130,3:56
Blue Canary,MONSTER GIRLS,Shioriko Mifune,Shioriko Mifune,2021.10.06,178,3:49
I'm Still...,MONSTER GIRLS,Mia Taylor,Mia Taylor,2021.10.06,90,4:06
Queendom,MONSTER GIRLS,Lanzhu Zhong,Lanzhu Zhong,2021.10.06,105,3:59
Vroom Vroom,Vroom Vroom,R3BIRTH,"Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2022.09.28,137,3:36
Bubble Over!,Vroom Vroom,R3BIRTH,"Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2022.09.28,164,3:06
POWER SPOT!!,Anime Season 1,DiverDiva,"Karin Asaka, Ai Miyashita",2020.12.24,130,3:59
Secret Flavor!,Anime Season 1,AZUNA,"Ayumu Uehara, Shizuku Osaka, Setsuna Yuki",2021.01.27,182,4:01
Make-up session ABC,Anime Season 1,QU4RTZ,"Kasumi Nakasu, Kanata Konoe, Emma Verde, Rina Tennoji",2021.02.25,111,4:13
Colorful -Brilliant-,Anime Season 1,DiverDiva,"Karin Asaka, Ai Miyashita",2021.03.26,100,4:17
Happy Nyan! Days,Anime Season 1,AZUNA,"Ayumu Uehara, Shizuku Osaka, Setsuna Yuki",2021.04.27,160,3:53
